Measuring_Point,Date,Temperatur,TDS,TSS,NH3,Surfactant,Phenol,Phospate,BOD,COD,OG,NO3,DO,pH,Cl3,Fecal_Coliform,Total_Coliform,Debit,Class
4,X/10/2012,22.5,594,43,56,320,1,0.56,49.4,136,10,6.87,1.27,7.98,0.01,24000000,30000000,20.3,0
4,X/04/2013,27.7,66.15,133,0.22,210,6.5,0.08,6,20.49,3000,1.86,6.36,6.04,0.01,3600,4400000,4.91,4
4,X/05/2013,25.3,153,208,0.58,40,6,0.11,56,176.31,1000,1.11,3.5,7.79,0.1,21000,29000,9.72,4
4,X/07/2013,26.2,211,63,0.63,60,6.5,0.27,8,40.92,2000,37.62,3.08,9.15,0.06,9300,150000,141.14,4
4,X/09/2013,29.6,405.5,34,4.58,170,6.5,0.62,60,175,2000,3.17,1.56,7.73,0.12,200000,270000000,81.6,4
4,X/10/2013,27.6,305,120,2.87,180,15,0.48,55,150.66,3000,10.05,0.33,7.29,0.18,4600000,110000000,44.36,4
4,X/04/2014,24.7,292,136.29,0.04,130,20,0.27,6.75,17.51,2060,1.9,3.1,7,1.22,460,460,132,3
4,X/05/2014,25.2,320,424,3.8,110,10,0.16,11.66,43.17,3030,1.37,2.5,6.9,0.02,210000,210000,80.1,4
4,X/07/2014,26.7,684,48.86,0.03,150,20,0.05,21.21,54.5,3540,5.41,1.3,7.6,0.51,9300000,9300000,11.4,3
4,X/09/2014,28.6,904,104.4,7.46,180,20,0.01,82.97,123.49,15820,0.02,0.2,8,0.87,1100000,1100000,6.9,3
4,X/10/2014,27,1240,67.56,10.35,960,20,0.16,31.89,77.3,3300,0,0.2,7.6,0.89,1100000,1100000,7,3
4,X/08/2015,25.8,304,47.75,0.065,0.128,0.001,0.49,6.59,20.32,1,2.178,3.6,6.21,0.14,80,900,12.774,4
4,X/09/2015,27.6,316,49.55,0.065,0.111,0.001,0.38,4.947,12.53,1,2.159,3.3,6.97,0.18,110,1200,6.05,4
4,X/10/2015,28.9,314,11.75,0.053,0.213,0.001,0.39,8.21,22.32,1,2.235,2.9,5.9,0.19,120,1200,1.67,4
4,X/11/2015,27.8,329.23,57.23,0.065,0.108,0.001,0.35,8.21,24.63,1,2.311,2.8,6.2,0.03,90,900,120.99,4
4,X/05/2016,27,124,178,0.01,20,1,0.02,15,47,200,0.8,2.19,7.26,0.01,13000,24000,33.6,4
4,X/07/2016,26,146,88,0.2,10,1,0.08,22,72,200,0.2,1.2,7.79,0.85,14000,17000,67.04,4
4,X/08/2016,28,319,47,0.02,11,1,0.4,15,58,200,0.1,0.2,6.84,0.03,17000,21000,11.7,4
4,X/09/2016,27,310,124,0.05,10,1,0.07,13,40,200,0.4,0.5,7.93,0.21,63000,84000,47.48,4
4,X/10/2016,28,180,54,0.03,10,1,0.03,9,33,200,0.6,0.2,7.57,0.31,63000,84000,40,4
4,X/05/2017,26,237,29,0.01,123,1,0.15,10.83,45.24,200,0.1,2.5,5.9,0.06,17000,22000,8.64,4
4,X/07/2017,26,227,252,0.2,10,1,0.3,23.81,67.3,8920,0.1,0.3,7.58,0.01,49000,70000,34.88,4
